# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jul 03 15:37:12 CEST 2020 [seed=1593783432197]
# MIKC_orthogroup_selection-basal-v6_guide-v4_aligned-mafft-einsi_trim-gt1-seqrmmanual_beastv1.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-1470106.4654407746	-1373996.0	-96110.46544077448	1035.0	43006.0	1.0	1.0	1.0	-96110.46544077448	0.0	-1373996.0
1000	-103460.02448874446	-13471.674655145916	-89988.34983359854	146.94144129900818	5329.643367185175	11.659000817849508	1.0	1.0	-89988.34983359854	0.0	-13469.218576661819
2000	-76913.92688783776	-1201.2105342783636	-75712.7163535594	39.80817380708234	1125.3826002041355	51.30349920225724	1.0	1.0	-75712.7163535594	0.0	-1197.272775317943
3000	-64289.94476724232	-786.3166277078776	-63503.62813953444	9.309333492027728	236.18532762104155	47.837984489379316	1.0	1.0	-63503.62813953444	0.0	-782.4488077293614
4000	-58304.33173314329	-672.6808614936635	-57631.650871649625	3.5062732643521244	96.35481204719079	17.818806045267443	1.0	1.0	-57631.650871649625	0.0	-669.8006070746923
5000	-56291.33501686576	-684.5407271869225	-55606.794289678845	3.1533553783393704	94.02168093263366	21.50970383866035	1.0	1.0	-55606.794289678845	0.0	-681.4722230122796
6000	-54917.281194881085	-689.8523662566209	-54227.42882862446	2.745889600490181	87.49989407573263	22.796707464006932	1.0	1.0	-54227.42882862446	0.0	-686.725750140562
7000	-53684.2551093887	-698.994145725767	-52985.260963662935	2.4930633230096624	85.7973504575113	24.367992461158824	1.0	1.0	-52985.260963662935	0.0	-695.8008752389889
8000	-52943.13569859077	-694.067265802514	-52249.068432788255	1.9867765993879238	82.20115028881793	22.215453549492896	1.0	1.0	-52249.068432788255	0.0	-690.966477649972
9000	-52393.02466130998	-694.8887331538021	-51698.13592815618	1.7931576815455172	79.12200891872261	23.827240066632854	1.0	1.0	-51698.13592815618	0.0	-691.7179036869971
10000	-51883.42970328349	-692.0547823000463	-51191.37492098344	1.5584923788788405	77.35642878624081	19.4110269880648	1.0	1.0	-51191.37492098344	0.0	-689.0889409940094
11000	-51618.21753268364	-683.6658262575411	-50934.55170642609	1.3524422217937044	72.80798996244462	21.054808825021702	1.0	1.0	-50934.55170642609	0.0	-680.6186972757584
