name,sites,lnL,parameters,subsets,aic,aicc,bic
1,182,-25437.88,269,1,51413.77,196673.77,52275.64
2,182,-25389.69,270,2,51319.39,197659.39,52184.47
3,182,-25325.62,270,2,51191.24,197531.24,52056.32
4,182,-25326.98,270,2,51193.97,197533.97,52059.05
5,182,-25282.85,271,3,51107.70,198531.70,51975.99
6,182,-25376.49,271,2,51294.98,198718.98,52163.27
7,182,-25337.28,271,2,51216.56,198640.56,52084.84
8,182,-25328.35,272,3,51200.71,199712.71,52072.20
9,182,-25346.46,270,2,51232.91,197572.91,52097.99
10,182,-25345.18,270,2,51230.36,197570.36,52095.44
11,182,-25300.10,271,3,51142.21,198566.21,52010.49
12,182,-25293.84,272,3,51131.68,199643.68,52003.17
13,182,-25256.42,272,3,51056.83,199568.83,51928.32
14,182,-25291.62,272,3,51127.25,199639.25,51998.74
15,182,-25247.49,273,4,51040.98,200644.98,51915.67
