Model selection results for subset: 7b94f041db0d8877af5c532b66ad8a60
Subset alignment stored here: ./analysis/phylofiles/7b94f041db0d8877af5c532b66ad8a60.phy
This subset contains the following data_blocks: M, I, K, C
Number of columns in subset: 182
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
LG+I+G          | 2               | -25437.883      | 50879.832        | 50879.766       | 50886.17       
LG+G            | 1               | -25441.084      | 50884.19         | 50884.168       | 50887.37       
JTT+I+G         | 2               | -25453.7        | 50911.465        | 50911.4         | 50917.805      
JTT+G           | 1               | -25455.895      | 50913.812        | 50913.79        | 50916.992      
JTT+I+G+F       | 21              | -25447.13       | 50942.035        | 50936.26        | 51003.547      
JTT+G+F         | 20              | -25450.443      | 50946.105        | 50940.887       | 51004.97       
LG+I+G+F        | 21              | -25561.521      | 51170.816        | 51165.043       | 51232.33       
LG+G+F          | 20              | -25564.441      | 51174.1          | 51168.883       | 51232.965      
WAG+I+G         | 2               | -25647.783      | 51299.633        | 51299.566       | 51305.973      
WAG+G           | 1               | -25650.8        | 51303.625        | 51303.6         | 51306.805      
VT+I+G          | 2               | -25665.332      | 51334.73         | 51334.664       | 51341.07       
VT+G            | 1               | -25668.357      | 51338.74         | 51338.715       | 51341.918      
CPREV+I+G       | 2               | -25730.125      | 51464.316        | 51464.25        | 51470.656      
CPREV+G         | 1               | -25737.406      | 51476.836        | 51476.812       | 51480.016      
RTREV+I+G+F     | 21              | -25732.672      | 51513.117        | 51507.344       | 51574.63       
RTREV+G+F       | 20              | -25735.564      | 51516.348        | 51511.13        | 51575.21       
VT+I+G+F        | 21              | -25735.348      | 51518.47         | 51512.695       | 51579.98       
VT+G+F          | 20              | -25739.223      | 51523.664        | 51518.445       | 51582.527      
WAG+I+G+F       | 21              | -25753.723      | 51555.22         | 51549.445       | 51616.73       
WAG+G+F         | 20              | -25757.9        | 51561.02         | 51555.8         | 51619.883      
RTREV+I+G       | 2               | -25779.123      | 51562.312        | 51562.246       | 51568.652      
RTREV+G         | 1               | -25782.277      | 51566.58         | 51566.555       | 51569.758      
HIVB+I+G+F      | 21              | -25768.861      | 51585.496        | 51579.723       | 51647.008      
HIVB+I+G        | 2               | -25792.955      | 51589.977        | 51589.91        | 51596.316      
HIVB+G+F        | 20              | -25773.904      | 51593.027        | 51587.81        | 51651.89       
HIVB+G          | 1               | -25796.762      | 51595.547        | 51595.523       | 51598.727      
DAYHOFF+G+F     | 20              | -25777.943      | 51601.105        | 51595.887       | 51659.97       
DAYHOFF+I+G+F   | 21              | -25776.82       | 51601.414        | 51595.64        | 51662.926      
DCMUT+G+F       | 20              | -25779.291      | 51603.8          | 51598.582       | 51662.664      
DCMUT+I+G+F     | 21              | -25778.156      | 51604.086        | 51598.312       | 51665.598      
DAYHOFF+G       | 1               | -25847.096      | 51696.215        | 51696.19        | 51699.395      
DAYHOFF+I+G     | 2               | -25846.752      | 51697.57         | 51697.504       | 51703.91       
DCMUT+G         | 1               | -25849.115      | 51700.254        | 51700.23        | 51703.434      
DCMUT+I+G       | 2               | -25848.762      | 51701.59         | 51701.523       | 51707.93       
BLOSUM62+I+G    | 2               | -25922.734      | 51849.535        | 51849.47        | 51855.875      
BLOSUM62+G      | 1               | -25926.357      | 51854.74         | 51854.715       | 51857.918      
MTREV+I+G+F     | 21              | -25978.838      | 52005.45         | 51999.676       | 52066.96       
MTREV+G+F       | 20              | -25980.742      | 52006.703        | 52001.484       | 52065.566      
CPREV+I+G+F     | 21              | -26009.316      | 52066.406        | 52060.633       | 52127.918      
CPREV+G+F       | 20              | -26016.174      | 52077.566        | 52072.348       | 52136.43       
BLOSUM62+I+G+F  | 21              | -26103.61       | 52254.992        | 52249.22        | 52316.504      
BLOSUM62+G+F    | 20              | -26107.684      | 52260.586        | 52255.367       | 52319.45       
MTART+I+G+F     | 21              | -26130.285      | 52308.344        | 52302.57        | 52369.855      
MTART+G+F       | 20              | -26132.98       | 52311.18         | 52305.96        | 52370.043      
MTMAM+I+G+F     | 21              | -26211.459      | 52470.69         | 52464.918       | 52532.203      
MTMAM+G+F       | 20              | -26213.809      | 52472.836        | 52467.617       | 52531.7        
