QueryId	SubjectId	id%	Aln	Mm	Gaps	qstart	qend	sstart	send	evalue	Score	Description
afiSOC1	Sacu_v1.1_s0271.g027022	51.77	141	67	1	0	0	0	0	4e-40	142	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0239.g026596	77.78	81	18	0	0	0	0	0	6e-39	137	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0027.g009703	51.72	145	38	32	0	0	0	0	1e-38	135	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0050.g013783	48.57	140	72	0	0	0	0	0	1e-38	139	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0033.g011014	43.48	138	75	3	0	0	0	0	3e-32	120	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0027.g009704	91.07	56	5	0	0	0	0	0	1e-29	112	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0006.g003425	44.52	146	74	7	0	0	0	0	8e-29	112	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0239.g026597	75.00	72	13	5	0	0	0	0	3e-28	106	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0043.g012907	45.39	141	69	8	0	0	0	0	2e-26	104	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0004.g002217	50.52	97	47	1	0	0	0	0	2e-23	94.0	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0087.g018504	69.70	66	15	5	0	0	0	0	3e-22	89.7	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0043.g012908	62.69	67	25	0	0	0	0	0	4e-22	92.4	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0932.g027847	66.67	60	20	0	0	0	0	0	2e-21	86.3	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0008.g004031	33.14	169	89	24	0	0	0	0	2e-20	90.9	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0006.g003429	66.67	57	19	0	0	0	0	0	4e-20	82.8	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0004.g002164	45.26	95	41	11	0	0	0	0	2e-19	83.6	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0007.g003739	51.22	82	33	7	0	0	0	0	7e-19	82.8	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0129.g021995	44.00	100	54	2	0	0	0	0	3e-18	80.5	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0003.g001660	52.86	70	31	2	0	0	0	0	4e-18	80.5	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0003.g001705	64.29	56	20	0	0	0	0	0	1e-17	79.3	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0006.g003070	72.92	48	13	0	0	0	0	0	4e-16	77.0	MADS-box transcription factor [0.179]
afiSOC1	Sacu_v1.1_s0115.g020974	47.13	87	19	27	0	0	0	0	1e-13	69.3	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0207.g025791	43.37	83	45	2	0	0	0	0	2e-12	66.2	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0271.g027022	50.00	140	69	1	0	0	0	0	1e-37	135	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0050.g013783	45.45	143	78	0	0	0	0	0	1e-37	137	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0239.g026596	74.39	82	21	0	0	0	0	0	4e-37	132	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0033.g011014	39.04	187	95	19	0	0	0	0	3e-33	123	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0027.g009703	56.88	109	20	27	0	0	0	0	6e-33	120	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0006.g003425	45.58	147	73	7	0	0	0	0	4e-31	118	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0043.g012907	43.92	148	75	8	0	0	0	0	2e-28	110	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0027.g009704	85.71	56	8	0	0	0	0	0	3e-28	108	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0239.g026597	81.67	60	11	0	0	0	0	0	1e-27	104	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0004.g002217	54.35	92	41	1	0	0	0	0	9e-24	95.1	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0932.g027847	63.08	65	24	0	0	0	0	0	5e-23	90.9	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0043.g012908	59.42	69	28	0	0	0	0	0	3e-22	92.8	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0087.g018504	51.72	87	33	9	0	0	0	0	2e-21	87.4	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0006.g003429	64.41	59	21	0	0	0	0	0	6e-20	82.4	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0004.g002164	60.71	56	22	0	0	0	0	0	1e-17	78.6	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0008.g004031	32.88	146	82	16	0	0	0	0	1e-17	82.0	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0007.g003739	48.15	81	35	7	0	0	0	0	2e-16	75.5	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0003.g001705	58.93	56	23	0	0	0	0	0	2e-16	75.5	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0129.g021995	57.14	56	24	0	0	0	0	0	4e-16	74.7	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0006.g003070	70.83	48	14	0	0	0	0	0	4e-16	77.0	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0003.g001660	49.28	69	33	2	0	0	0	0	1e-15	73.6	MADS-box transcription factor [0.179]
afiAGL6	Sacu_v1.1_s0115.g020974	40.78	103	34	27	0	0	0	0	1e-13	68.9	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0014.g006239	31.91	94	64	0	0	0	0	0	2e-11	60.5	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0033.g011014	47.02	151	70	10	0	0	0	0	1e-34	126	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0271.g027022	42.14	159	84	8	0	0	0	0	3e-34	125	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0043.g012907	47.50	160	76	8	0	0	0	0	6e-34	124	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0043.g012908	39.63	164	88	11	0	0	0	0	2e-29	112	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0006.g003425	43.33	150	78	7	0	0	0	0	4e-29	112	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0050.g013783	41.96	143	79	4	0	0	0	0	1e-27	108	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0932.g027847	68.85	61	16	3	0	0	0	0	7e-22	87.0	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0239.g026597	70.49	61	15	3	0	0	0	0	1e-21	87.4	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0004.g002217	67.12	73	20	4	0	0	0	0	1e-21	88.6	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0006.g003429	68.33	60	16	3	0	0	0	0	2e-20	83.2	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0027.g009704	68.97	58	15	3	0	0	0	0	6e-20	84.7	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0087.g018504	69.64	56	14	3	0	0	0	0	2e-18	78.2	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0014.g006239	41.86	86	49	1	0	0	0	0	8e-16	72.4	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0004.g002164	50.00	80	32	8	0	0	0	0	2e-14	68.6	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0007.g003739	48.57	70	35	1	0	0	0	0	4e-14	68.2	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0006.g003070	68.63	51	13	3	0	0	0	0	9e-14	68.9	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0129.g021995	49.23	65	30	3	0	0	0	0	2e-13	66.2	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0003.g001660	39.33	89	53	1	0	0	0	0	3e-13	65.9	MADS-box transcription factor [0.179]
afi26	Sacu_v1.1_s0003.g001705	53.33	60	25	3	0	0	0	0	3e-13	65.9	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0008.g004031	48.61	72	34	3	0	0	0	0	5e-13	67.4	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0008.g004031	83.56	219	33	3	0	0	0	0	1e-126	373	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0271.g027022	37.33	150	75	19	0	0	0	0	2e-22	92.8	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0006.g003425	54.93	71	32	0	0	0	0	0	7e-20	85.5	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0043.g012907	43.82	89	50	0	0	0	0	0	2e-19	84.0	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0043.g012908	50.70	71	35	0	0	0	0	0	6e-19	82.4	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0932.g027847	62.07	58	22	0	0	0	0	0	4e-18	76.6	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0006.g003429	60.00	60	24	0	0	0	0	0	7e-18	76.3	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0087.g018504	48.57	70	36	0	0	0	0	0	2e-16	72.8	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0050.g013783	31.36	169	99	17	0	0	0	0	4e-16	75.1	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0033.g011014	54.55	55	25	0	0	0	0	0	9e-16	73.2	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0027.g009704	61.82	55	21	0	0	0	0	0	1e-15	72.4	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0004.g002217	57.14	56	24	0	0	0	0	0	2e-15	70.9	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0004.g002164	57.89	57	24	0	0	0	0	0	5e-15	70.5	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0239.g026597	58.82	51	21	0	0	0	0	0	1e-14	67.8	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0207.g025791	56.60	53	23	0	0	0	0	0	7e-12	63.2	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0007.g003739	40.00	80	46	2	0	0	0	0	2e-11	60.8	MADS-box transcription factor [0.179]
afi70	Sacu_v1.1_s0006.g003070	53.06	49	23	0	0	0	0	0	4e-11	61.2	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0003.g001660	50.88	57	28	0	0	0	0	0	5e-11	59.7	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0008.g004031	56.85	197	54	31	0	0	0	0	4e-61	204	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0271.g027022	57.35	68	29	0	0	0	0	0	1e-20	88.2	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0006.g003425	54.93	71	32	0	0	0	0	0	1e-19	85.1	MADS-box transcription factor [0.179]
afi132	Sacu_v1.1_s0043.g012907	44.32	88	49	0	0	0	0	0	5e-19	83.2	MADS-box transcription factor [0.179]
